Paternal genotype,WY,GY,G_1Y,G_2Y,G_3Y,RY,WX,GX,G_1X,G_2X,G_3X,RX
WW,1/2,0,0,0,0,0,1/2,0,0,0,0,0
WG,d^2/4 + d*(1 - d)/2 + (1 - c)*(1 - d)^2/4,c*(1 - d)^2/4 + (1 - c)*(1 - d)^2/4,d*(1 - d)/4,d*(1 - d)/4,d^2/4,c*(1 - d)^2/4,d^2/4 + d*(1 - d)/2 + (1 - c)*(1 - d)^2/4,c*(1 - d)^2/4 + (1 - c)*(1 - d)^2/4,d*(1 - d)/4,d*(1 - d)/4,d^2/4,c*(1 - d)^2/4
WG_1,1/4,0,1/4 - d/4,0,d/4,0,1/4,0,1/4 - d/4,0,d/4,0
WG_2,1/4,0,0,1/4 - d/4,d/4,0,1/4,0,0,1/4 - d/4,d/4,0
WG_3,1/4,0,0,0,1/4,0,1/4,0,0,0,1/4,0
WR,1/4,0,0,0,0,1/4,1/4,0,0,0,0,1/4
GG,0,d^2*(1 - d)^2/2 + d*(1 - d)^3 + (1 - d)^4/2,d^3*(1 - d)/2 + d^2*(1 - d)^2 + d*(1 - d)^3/2,d^3*(1 - d)/2 + d^2*(1 - d)^2 + d*(1 - d)^3/2,d^4/2 + d^3*(1 - d) + d^2*(1 - d)^2/2,0,0,d^2*(1 - d)^2/2 + d*(1 - d)^3 + (1 - d)^4/2,d^3*(1 - d)/2 + d^2*(1 - d)^2 + d*(1 - d)^3/2,d^3*(1 - d)/2 + d^2*(1 - d)^2 + d*(1 - d)^3/2,d^4/2 + d^3*(1 - d) + d^2*(1 - d)^2/2,0
GG_1,0,d*(1 - d)^2/4 + (1 - d)^3/4,d^2*(1 - d)/2 + 3*d*(1 - d)^2/4 + (1 - d)^3/4,d^2*(1 - d)/4 + d*(1 - d)^2/4,d^3/2 + 3*d^2*(1 - d)/4 + d*(1 - d)^2/4,0,0,d*(1 - d)^2/4 + (1 - d)^3/4,d^2*(1 - d)/2 + 3*d*(1 - d)^2/4 + (1 - d)^3/4,d^2*(1 - d)/4 + d*(1 - d)^2/4,d^3/2 + 3*d^2*(1 - d)/4 + d*(1 - d)^2/4,0
GG_2,0,d*(1 - d)^2/4 + (1 - d)^3/4,d^2*(1 - d)/4 + d*(1 - d)^2/4,d^2*(1 - d)/2 + 3*d*(1 - d)^2/4 + (1 - d)^3/4,d^3/2 + 3*d^2*(1 - d)/4 + d*(1 - d)^2/4,0,0,d*(1 - d)^2/4 + (1 - d)^3/4,d^2*(1 - d)/4 + d*(1 - d)^2/4,d^2*(1 - d)/2 + 3*d*(1 - d)^2/4 + (1 - d)^3/4,d^3/2 + 3*d^2*(1 - d)/4 + d*(1 - d)^2/4,0
GG_3,0,(1 - d)^2/4,d*(1 - d)/4,d*(1 - d)/4,d^2/2 + d*(1 - d)/2 + (1 - d)^2/4,0,0,(1 - d)^2/4,d*(1 - d)/4,d*(1 - d)/4,d^2/2 + d*(1 - d)/2 + (1 - d)^2/4,0
GR,0,(1 - d)^2/4,d*(1 - d)/4,d*(1 - d)/4,d^2/4,d^2/4 + d*(1 - d)/2 + (1 - d)^2/4,0,(1 - d)^2/4,d*(1 - d)/4,d*(1 - d)/4,d^2/4,d^2/4 + d*(1 - d)/2 + (1 - d)^2/4
G_1G_1,0,0,d*(1 - d)/2 + (1 - d)^2/2,0,d^2/2 + d*(1 - d)/2,0,0,0,d*(1 - d)/2 + (1 - d)^2/2,0,d^2/2 + d*(1 - d)/2,0
G_1G_2,0,0,d*(1 - d)/4 + (1 - d)^2/4,d*(1 - d)/4 + (1 - d)^2/4,d^2/2 + d*(1 - d)/2,0,0,0,d*(1 - d)/4 + (1 - d)^2/4,d*(1 - d)/4 + (1 - d)^2/4,d^2/2 + d*(1 - d)/2,0
G_1G_3,0,0,1/4 - d/4,0,d/4 + 1/4,0,0,0,1/4 - d/4,0,d/4 + 1/4,0
G_1R,0,0,1/4 - d/4,0,d/4,1/4,0,0,1/4 - d/4,0,d/4,1/4
G_2G_2,0,0,0,d*(1 - d)/2 + (1 - d)^2/2,d^2/2 + d*(1 - d)/2,0,0,0,0,d*(1 - d)/2 + (1 - d)^2/2,d^2/2 + d*(1 - d)/2,0
G_2G_3,0,0,0,1/4 - d/4,d/4 + 1/4,0,0,0,0,1/4 - d/4,d/4 + 1/4,0
G_2R,0,0,0,1/4 - d/4,d/4,1/4,0,0,0,1/4 - d/4,d/4,1/4
G_3G_3,0,0,0,0,1/2,0,0,0,0,0,1/2,0
G_3R,0,0,0,0,1/4,1/4,0,0,0,0,1/4,1/4
RR,0,0,0,0,0,1/2,0,0,0,0,0,1/2
