male genotype,fitness b,fitness a,fitness s
"WWW,WWW",1,1,1
"WWW,WWT",1,-htcm*stcm + 1,1
"WWW,WGW",1,-hgm*sgm + 1,1
"WWW,WGT",1,-hgm*sgm + 1,1
"WWW,WRW",1,-hrm*srm + 1,1
"WWW,WRT",1,(-hrm*srm + 1)*(-htcm*stcm + 1),1
"WWW,BWW",1,1,1
"WWW,BWT",1,-htcm*stcm + 1,1
"WWW,BGW",1,-hgm*sgm + 1,1
"WWW,BGT",1,-hgm*sgm + 1,1
"WWW,BRW",1,-hrm*srm + 1,1
"WWW,BRT",1,(-hrm*srm + 1)*(-htcm*stcm + 1),1
"WWT,WWT",1,1 - stcm,1
"WWT,WGW",1,-hgm*sgm + 1,1
"WWT,WGT",1,(-hgm*sgm + 1)*(-htcm*stcm + 1),1
"WWT,WRW",1,(-hrm*srm + 1)*(-htcm*stcm + 1),1
"WWT,WRT",1,(1 - stcm)*(-hrm*srm + 1),1
"WWT,BWW",1,-htcm*stcm + 1,1
"WWT,BWT",1,1 - stcm,1
"WWT,BGW",1,-hgm*sgm + 1,1
"WWT,BGT",1,(-hgm*sgm + 1)*(-htcm*stcm + 1),1
"WWT,BRW",1,(-hrm*srm + 1)*(-htcm*stcm + 1),1
"WWT,BRT",1,(1 - stcm)*(-hrm*srm + 1),1
"WGW,WGW",1,1 - sgm,1
"WGW,WGT",1,1 - sgm,1
"WGW,WRW",1,1 - sgrm,1
"WGW,WRT",1,1 - sgrm,1
"WGW,BWW",1,-hgm*sgm + 1,1
"WGW,BWT",1,-hgm*sgm + 1,1
"WGW,BGW",1,1 - sgm,1
"WGW,BGT",1,1 - sgm,1
"WGW,BRW",1,1 - sgrm,1
"WGW,BRT",1,1 - sgrm,1
"WGT,WGT",1,1 - sgm,1
"WGT,WRW",1,1 - sgrm,1
"WGT,WRT",1,(1 - sgrm)*(-htcm*stcm + 1),1
"WGT,BWW",1,-hgm*sgm + 1,1
"WGT,BWT",1,(-hgm*sgm + 1)*(-htcm*stcm + 1),1
"WGT,BGW",1,1 - sgm,1
"WGT,BGT",1,1 - sgm,1
"WGT,BRW",1,1 - sgrm,1
"WGT,BRT",1,(1 - sgrm)*(-htcm*stcm + 1),1
"WRW,WRW",1,1 - srm,1
"WRW,WRT",1,(1 - srm)*(-htcm*stcm + 1),1
"WRW,BWW",1,-hrm*srm + 1,1
"WRW,BWT",1,(-hrm*srm + 1)*(-htcm*stcm + 1),1
"WRW,BGW",1,1 - sgrm,1
"WRW,BGT",1,1 - sgrm,1
"WRW,BRW",1,1 - srm,1
"WRW,BRT",1,(1 - srm)*(-htcm*stcm + 1),1
"WRT,WRT",1,(1 - srm)*(1 - stcm),1
"WRT,BWW",1,(-hrm*srm + 1)*(-htcm*stcm + 1),1
"WRT,BWT",1,(1 - stcm)*(-hrm*srm + 1),1
"WRT,BGW",1,1 - sgrm,1
"WRT,BGT",1,(1 - sgrm)*(-htcm*stcm + 1),1
"WRT,BRW",1,(1 - srm)*(-htcm*stcm + 1),1
"WRT,BRT",1,(1 - srm)*(1 - stcm),1
"BWW,BWW",1,1,1
"BWW,BWT",1,-htcm*stcm + 1,1
"BWW,BGW",1,-hgm*sgm + 1,1
"BWW,BGT",1,-hgm*sgm + 1,1
"BWW,BRW",1,-hrm*srm + 1,1
"BWW,BRT",1,(-hrm*srm + 1)*(-htcm*stcm + 1),1
"BWT,BWT",1,1 - stcm,1
"BWT,BGW",1,-hgm*sgm + 1,1
"BWT,BGT",1,(-hgm*sgm + 1)*(-htcm*stcm + 1),1
"BWT,BRW",1,(-hrm*srm + 1)*(-htcm*stcm + 1),1
"BWT,BRT",1,(1 - stcm)*(-hrm*srm + 1),1
"BGW,BGW",1,1 - sgm,1
"BGW,BGT",1,1 - sgm,1
"BGW,BRW",1,1 - sgrm,1
"BGW,BRT",1,1 - sgrm,1
"BGT,BGT",1,1 - sgm,1
"BGT,BRW",1,1 - sgrm,1
"BGT,BRT",1,(1 - sgrm)*(-htcm*stcm + 1),1
"BRW,BRW",1,1 - srm,1
"BRW,BRT",1,(1 - srm)*(-htcm*stcm + 1),1
"BRT,BRT",1,(1 - srm)*(1 - stcm),1
