Paternal genotype,WY,WY,GY,GY,WX,WX,GX,GX
"WW,WW",1/2,0,0,0,1/2,0,0,0
"WW,WR",1/4,1/4,0,0,1/4,1/4,0,0
"WW,GW",c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2 + (1 - c)^2/4,c^2/4 + c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2,c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2 + (1 - c)^2/4,c^2/4 + c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2,c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2 + (1 - c)^2/4,c^2/4 + c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2,c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2 + (1 - c)^2/4,c^2/4 + c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2
"WW,GR",(1/2 - r/2)*(1 - c)/2,c/4 + r*(1 - c)/4,r*(1 - c)/4,c/4 + (1/2 - r/2)*(1 - c)/2,(1/2 - r/2)*(1 - c)/2,c/4 + r*(1 - c)/4,r*(1 - c)/4,c/4 + (1/2 - r/2)*(1 - c)/2
"WR,WR",0,1/2,0,0,0,1/2,0,0
"WR,GW",r*(1 - c)/4,c/4 + (1/2 - r/2)*(1 - c)/2,(1/2 - r/2)*(1 - c)/2,c/4 + r*(1 - c)/4,r*(1 - c)/4,c/4 + (1/2 - r/2)*(1 - c)/2,(1/2 - r/2)*(1 - c)/2,c/4 + r*(1 - c)/4
"WR,GR",0,1/4,0,1/4,0,1/4,0,1/4
"GW,GW",0,0,c*(1 - c)/2 + (1 - c)^2/2,c^2/2 + c*(1 - c)/2,0,0,c*(1 - c)/2 + (1 - c)^2/2,c^2/2 + c*(1 - c)/2
"GW,GR",0,0,1/4 - c/4,c/4 + 1/4,0,0,1/4 - c/4,c/4 + 1/4
"GR,GR",0,0,0,1/2,0,0,0,1/2
