Paternal genotype,WWY,WIY,WRY,GWY,GIY,GRY,WWX,WIX,WRX,GWX,GIX,GRX
"WW,WW",1/2,0,0,0,0,0,1/2,0,0,0,0,0
"WW,WI",1/4,1/4,0,0,0,0,1/4,1/4,0,0,0,0
"WW,WR",1/4,0,1/4,0,0,0,1/4,0,1/4,0,0,0
"WW,GW",c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2 + (1 - c)^2/4,0,c^2/4 + c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2,c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2 + (1 - c)^2/4,0,c^2/4 + c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2,c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2 + (1 - c)^2/4,0,c^2/4 + c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2,c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2 + (1 - c)^2/4,0,c^2/4 + c*r*(1 - c)/4 + c*(1/2 - r/2)*(1 - c)/2
"WW,GI",(1/2 - r/2)*(1 - c)/2,c*r/4 + r*(1 - c)/4,c*(1/2 - r/2)/2,r*(1 - c)/4,c*(1/2 - r/2)/2 + (1/2 - r/2)*(1 - c)/2,c*r/4,(1/2 - r/2)*(1 - c)/2,c*r/4 + r*(1 - c)/4,c*(1/2 - r/2)/2,r*(1 - c)/4,c*(1/2 - r/2)/2 + (1/2 - r/2)*(1 - c)/2,c*r/4
"WW,GR",(1/2 - r/2)*(1 - c)/2,0,c/4 + r*(1 - c)/4 + 1/4,r*(1 - c)/4,0,c/4 + (1/2 - r/2)*(1 - c)/2 + 1/4,(1/2 - r/2)*(1 - c)/2,0,c/4 + r*(1 - c)/4 + 1/4,r*(1 - c)/4,0,c/4 + (1/2 - r/2)*(1 - c)/2 + 1/4
"WI,WI",0,1/2,0,0,0,0,0,1/2,0,0,0,0
"WI,WR",0,1/4,1/4,0,0,0,0,1/4,1/4,0,0,0
"WI,GW",r*(1 - c)/4,c*(1/2 - r/2)/2 + (1/2 - r/2)*(1 - c)/2,c*r/4,(1/2 - r/2)*(1 - c)/2,c*r/4 + r*(1 - c)/4,c*(1/2 - r/2)/2,r*(1 - c)/4,c*(1/2 - r/2)/2 + (1/2 - r/2)*(1 - c)/2,c*r/4,(1/2 - r/2)*(1 - c)/2,c*r/4 + r*(1 - c)/4,c*(1/2 - r/2)/2
"WI,GI",0,1/4,0,0,1/4,0,0,1/4,0,0,1/4,0
"WI,GR",0,1/4 - r/4,r/4,0,r/4,1/4 - r/4,0,1/4 - r/4,r/4,0,r/4,1/4 - r/4
"WR,WR",0,0,1/2,0,0,0,0,0,1/2,0,0,0
"WR,GW",r*(1 - c)/4,0,c/4 + (1/2 - r/2)*(1 - c)/2 + 1/4,(1/2 - r/2)*(1 - c)/2,0,c/4 + r*(1 - c)/4 + 1/4,r*(1 - c)/4,0,c/4 + (1/2 - r/2)*(1 - c)/2 + 1/4,(1/2 - r/2)*(1 - c)/2,0,c/4 + r*(1 - c)/4 + 1/4
"WR,GI",0,r/4,1/4 - r/4,0,1/4 - r/4,r/4,0,r/4,1/4 - r/4,0,1/4 - r/4,r/4
"WR,GR",0,0,1/4,0,0,1/4,0,0,1/4,0,0,1/4
"GW,GW",0,0,0,c*(1 - c)/2 + (1 - c)^2/2,0,c^2/2 + c*(1 - c)/2,0,0,0,c*(1 - c)/2 + (1 - c)^2/2,0,c^2/2 + c*(1 - c)/2
"GW,GI",0,0,0,1/4 - c/4,1/4,c/4,0,0,0,1/4 - c/4,1/4,c/4
"GW,GR",0,0,0,1/4 - c/4,0,c/4 + 3/4,0,0,0,1/4 - c/4,0,c/4 + 3/4
"GI,GI",0,0,0,0,1/2,0,0,0,0,0,1/2,0
"GI,GR",0,0,0,0,1/4,1/4,0,0,0,0,1/4,1/4
"GR,GR",0,0,0,0,0,1/2,0,0,0,0,0,1/2
