male genotype,fitness b,fitness a,fitness s
"WW,WW",1,1,1
"WW,WI",1,-him*sim + 1,1
"WW,WR",1,-hrm*srm + 1,1
"WW,GW",1,-hgm*sgm + 1,1
"WW,GI",1,(-hgm*sgm + 1)*(-him*sim + 1),1
"WW,GR",1,(-hgm*sgm + 1)*(-hrm*srm + 1),1
"WI,WI",1,1 - sim,1
"WI,WR",1,1 - sirm,1
"WI,GW",1,(-hgm*sgm + 1)*(-him*sim + 1),1
"WI,GI",1,(1 - sim)*(-hgm*sgm + 1),1
"WI,GR",1,(1 - sirm)*(-hgm*sgm + 1),1
"WR,WR",1,1 - srm,1
"WR,GW",1,(-hgm*sgm + 1)*(-hrm*srm + 1),1
"WR,GI",1,(1 - sirm)*(-hgm*sgm + 1),1
"WR,GR",1,(1 - srm)*(-hgm*sgm + 1),1
"GW,GW",1,1 - sgm,1
"GW,GI",1,(1 - sgm)*(-him*sim + 1),1
"GW,GR",1,(1 - sgm)*(-hrm*srm + 1),1
"GI,GI",1,(1 - sgm)*(1 - sim),1
"GI,GR",1,(1 - sgm)*(1 - sirm),1
"GR,GR",1,(1 - sgm)*(1 - srm),1
